Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%),Year,Color
1878-09,0.02083502999999999,-0.017731242,0.4065657,1878,#ffebeb
1878-10,-0.16501591,-0.35807508,0.026221631,1878,#1371b4
1878-11,-0.142558113,-0.3761419,0.18843566,1878,#0a619f
1878-12,-0.322622375,-0.70812666,0.0023950485,1878,#2b8dd3
1879-01,-0.23778471,-0.56635565,0.14760524,1879,#1d7ec3
1879-02,-0.26602047500000003,-0.6286282,0.09502341,1879,#1d7ec3
1879-03,-0.2583884,-0.63011354,0.11673791,1879,#1d7ec3
1879-04,-0.38240050000000003,-0.70424867,-0.19011717,1879,#2b8dd3
1879-05,-0.34387109000000005,-0.55013794,-0.085003704,1879,#2b8dd3
1879-06,-0.283259945,-0.507095,-0.12305327,1879,#1d7ec3
1879-07,-0.26412249,-0.4087286,-0.031301834,1879,#1d7ec3
1879-08,-0.265342935,-0.49778423,-0.12363883,1879,#1d7ec3
1879-09,-0.235569255,-0.46074498,-0.022574257,1879,#1d7ec3
1879-10,-0.1590587525,-0.24344826,0.20241968,1879,#1371b4
1879-11,-0.39733799,-0.90109533,-0.27963287,1879,#409fe2
1879-12,-0.5504553299999999,-1.2294114,-0.44863978,1879,#6fbcf3
1880-01,-0.39386343,-0.8463107,-0.107679896,1880,#409fe2
1880-02,-0.44989362,-0.99219877,-0.2870545,1880,#409fe2
1880-03,-0.19438674050000002,-0.79548764,0.07690988,1880,#1371b4
1880-04,-0.33803286499999996,-0.8103845,-0.12021322,1880,#2b8dd3
1880-05,-0.32535021,-0.5805544,-0.025883477,1880,#2b8dd3
1880-06,-0.38053035999999996,-0.51529473,-0.08839396,1880,#2b8dd3
1880-07,-0.31480677,-0.49592045,-0.11896238,1880,#2b8dd3
1880-08,-0.107183035,-0.38034764,0.019706825,1880,#0a619f
1880-09,-0.29703381500000003,-0.5376138,-0.11157935,1880,#1d7ec3
1880-10,-0.39094923000000004,-0.6175632,-0.22328784,1880,#409fe2
1880-11,-0.28068958,-0.6519014,-0.038790222,1880,#1d7ec3
1880-12,-0.317265095,-0.86718816,-0.09995242,1880,#2b8dd3
1881-01,-0.21463031999999999,-0.58228177,0.113701195,1881,#1371b4
1881-02,-0.224588035,-0.67135483,0.031113856,1881,#1371b4
1881-03,-0.24820606,-0.7507315,-0.007922194,1881,#1d7ec3
1881-04,-0.062520213,-0.28850803,0.20406803,1881,#04538c
1881-05,-0.121898518,-0.39227998,0.0969949,1881,#0a619f
1881-06,-0.399082735,-0.5721194,-0.18407623,1881,#409fe2
1881-07,-0.194044875,-0.3771124,0.0035226378,1881,#1371b4
1881-08,-0.138168475,-0.25932446,0.10546744,1881,#0a619f
